sourceurl,company_name,company_homepage_url
"https://theorg.com/companies/y-1","Yahagi Construction Co Ltd","https://www.yahagi.co.jp/"
"https://theorg.com/companies/y-1","YAGI","https://yagionline.com"
"https://theorg.com/companies/y-1","YAI","http://yai.org"
"https://theorg.com/companies/y-1","Yajur Knowledge Solutions (formerly Valuecraftz)","https://www.yajurks.com/"
"https://theorg.com/companies/y-1","Yahya Kemal College","https://www.ykc.edu.mk"
"https://theorg.com/companies/y-1","Yakabod","http://www.yakabod.com"
"https://theorg.com/companies/y-1","Yager Materials, Inc.","http://www.yagermaterials.com/"
"https://theorg.com/companies/y-1","Yaham Optoelectronics Co.,Ltd","https://yaham.com/"
"https://theorg.com/companies/y-1","YaizY","https://yaizy.io/us"
"https://theorg.com/companies/y-1","Yael Consulting","https://www.yaelconsulting.com/"
"https://theorg.com/companies/y-1","YAHAM LED U.S.A. Inc,","https://yahamled.com"
"https://theorg.com/companies/y-1","Yago","https://www.yago.be"
"https://theorg.com/companies/y-1","YaEsta.com","http://www.yaesta.com"
"https://theorg.com/companies/y-1","yaencontre","https://www.yaencontre.com"
"https://theorg.com/companies/y-1","Yahara Software","http://yaharasoftware.com"
"https://theorg.com/companies/y-1","Yail Noa Group","http://www.yail-noa.co.il"
"https://theorg.com/companies/y-1","YA Engineering Services","https://yaeservices.com/"
"https://theorg.com/companies/y-1","Ya Ganaste","https://www.yaganaste.com"
"https://theorg.com/companies/y-1","YAGER","https://www.yager.de/"
"https://theorg.com/companies/y-1","YagnaiQ, Inc.","http://www.yagnaiq.com/"
"https://theorg.com/companies/y-1","Yaffe Real Estate","https://www.yaffeteam.com"
"https://theorg.com/companies/y-1","YAITEC Solutions","https://www.yaitec.com"
"https://theorg.com/companies/y-1","Yad Vashem USA Foundation","https://yadvashemfoundation.org/"
"https://theorg.com/companies/y-1","Yael Acceptic","https://acceptic.com"
"https://theorg.com/companies/y-1","YAK ACCESS","https://www.yakaccess.com/"
"https://theorg.com/companies/y-1","Yageo Corp","http://www.yageo.com"
"https://theorg.com/companies/y-1","Yahsat","https://www.yahsat.com"
"https://theorg.com/companies/y-1","Yaggle IT Corp","https://www.yaggleit.com"
"https://theorg.com/companies/y-1","Yael Group","http://www.yaelgroup.com/en/"
"https://theorg.com/companies/y-1","Yahoo!","http://yahooinc.com"
"https://theorg.com/companies/y-1","Yahyn","http://yahyn.com"
"https://theorg.com/companies/y-1","Yai's Thai","https://www.yaisthai.com"
"https://theorg.com/companies/y-1","Yakama Nation Networks","https://www.ynnetworks.com/"
"https://theorg.com/companies/y-1","Yale Alumni Magazine","https://yalealumnimagazine.org"
"https://theorg.com/companies/y-1","Yakka Labour","https://yakkalabour.com.au/"
"https://theorg.com/companies/y-1","Yala","https://app.useyala.com/register"
"https://theorg.com/companies/y-1","Yakult Danone India Pvt ltd","https://www.yakult.co.in/"
"https://theorg.com/companies/y-1","YAKIMA SCHOOL DISTRICT","https://www.yakimaschools.org/"
"https://theorg.com/companies/y-1","Yakima Australia","https://www.yakima.com.au/"
"https://theorg.com/companies/y-1","YalaShoghol Company Builders (YCB)","https://www.yalashoghol.com"
"https://theorg.com/companies/y-1","Yaku","https://www.yaku.ai/"
"https://theorg.com/companies/y-1","Yale","https://www.yale.com/"
"https://theorg.com/companies/y-1","YAKER Hair Restoration + Med Spa","https://www.yakermd.com"
"https://theorg.com/companies/y-1","Yakoda","https://yakodasupply.com"
"https://theorg.com/companies/y-1","Yale Blockchain Club","https://www.yaleblockchainclub.com"
"https://theorg.com/companies/y-1","Yakkr","https://www.yakkr.co.uk"
